Designator,Footprint,Quantity,Value,LCSC Part #
"+12V, +12V_X, +3V3, +V1, +V2, AGND, H1_2, H2_2, L1, L2_2, PGND, SENS_1, SENS_2, SW1, SW2, V1+",TestPoint_Pad_1.0x1.0mm,16,TestPoint,
"C1, C2, C3, C4, C5, C6, C7, C8",2220,8,10uF,
C10,CAPAE1300X1380N,1,100uF,
"C11, C12",0603,2,6800pF,
"C13, C14, C21, C24, C27, C28",0603,6,22pF,
"C15, C16, C42, C43, C44",0603,5,100nF,
"C17, C18",0603,2,330pF,
"C19, C29",0805,2,4u7F,
"C20, C22, C51, C54, C56, C57",0603,6,2u2F,
"C23, C30",1206,2,2u2F,
"C25, C66",0603,2,220pF,
"C26, C40, C47, C53, C60",0603,5,10nF,
"C31, C37",0603,2,1uF 50V,
"C32, C36",0805,2,10uF,
C33,0603,1,10uF,
C34,0805,1,47uF,
C35,0805,1,22uF,
"C38, C39",1210,2,2u2F,
"C41, C45, C52",0603,3,1uF,
C46,0603,1,2n2F,
C48,0603,1,3n3F,
C49,0603,1,56pF,
C50,1210,1,22uF,
"C55, C59",0603,2,33pF,
"C58, C64",1210,2,4u7F,
"C61, C65",1206,2,1uF,
C9,EEEFK0J332AQ,1,220uF,
"D1, D2, D3, D4",D_SOD-123,4,MBR0540T1G,
"D10, D11, D12",0805,3,LED,
"D13, D14",SODFL3616X98N,2,MBR1H100SFT3G,
"D5, D6",D_SMA,2,SS16,
D7,DIONM7959X262N,1,SS510,
"F1, F2",SS_BEL,2,15A,
"J1, J3",ED1202DS,2,Conn_01x02,
J5,PinHeader_1x05_P1.00mm_Vertical,1,Conn_01x05,
J6,5103308-1,1,5103308-1,
J7,PinHeader_01x02_P2.54mm_Vertical_THT_D1mm,1,Conn_01x02,
L1_2,SER2918H333KL,1,SER2918H-153KL,
L2,SRP1265A,1,SRP1265A-220M,
"Q1, Q2, Q3, Q4",TO-263-6,4,IPB180N10S4-02,
"Q5, Q8",SOIC127P600X175-8N,2,AO4406A,
"Q6, Q7",SOT-23,2,MMBT3904,
"R1, R2",0603,2,41k2,
"R10, R9",0603,2,1k10,
"R11, R12, R3, R4, R48, R54, R55",0603,7,10k,
"R13, R14",2512,2,0.002,
"R15, R20",0603,2,120,
"R16, R19, R25, R26",0603,4,120k,
"R17, R18, R21, R22, R23, R24, R34, R49, R50",0603,9,1k,
R28,0603,1,2k03,
"R29, R30",0603,2,31k6,
R31,0603,1,100k,
R32,0603,1,3k74,
"R33, R35",0603,2,453k,
R36,0603,1,49k9,
R38,0603,1,1R,
"R40, R46, R47, R51",0603,4,100,
"R45, R56, R57",0603,3,2k2,
"R5, R6, R7, R8",0805,4,5R11,
"R52, R53",0603,2,3k16,
S1,G12AP,1,G12AP,
"SW2_2, SW3, SW4",SKRKAEE010,3,SKRKAEE010,
"U1, U4",DRM8_3P38X2P45_TEX,2,UCC27211ADRMR,
"U2, U3",SOIC127P600X170-9N,2,OPA2211AIDDA,
U5,SOT230P700X180-4N,1,TLV1117-33IDCY,
U6,SOIC127P600X170-9N,1,LM5013DDAR,
U7,UCD3138RJAT,1,UCD3138RJAT,
"U8, U9",TSOT-23-6,2,LM5050-1,
