Designator,Mid X,Mid Y,Rotation,Layer
C1,111.43,-77.64,270.0,top
C10,181.74,-91.29,180.0,top
C11,140.45,-104.7,270.0,bottom
C12,143.75,-109.15,0.0,top
C13,120.64,-100.71,270.0,bottom
C14,161.35,-103.48,270.0,bottom
C15,120.59,-106.78,270.0,bottom
C16,161.15,-108.05,270.0,bottom
C17,140.47,-101.36442,270.0,top
C18,140.505,-104.67,270.0,top
C19,113.3,-82.48,0.0,bottom
C2,105.02,-77.64,270.0,top
C20,140.43,-111.04,90.0,bottom
C21,129.895,-101.86,270.0,bottom
C22,140.4,-107.9,270.0,bottom
C23,116.66,-86.79,270.0,bottom
C24,167.96,-99.88,90.0,bottom
C25,149.05,-108.85,0.0,bottom
C26,147.01,-106.6,180.0,top
C27,169.2,-108.075,90.0,bottom
C28,128.245,-105.628,90.0,bottom
C29,158.06,-80.25,0.0,bottom
C3,108.46,-77.61,270.0,bottom
C30,162.0869,-84.1,270.0,bottom
C31,189.484,-115.64,0.0,bottom
C32,174.65,-116.7,270.0,bottom
C33,162.2,-116.575,270.0,bottom
C34,174.41,-113.57,270.0,top
C35,172.25,-113.57,270.0,top
C36,176.521,-113.57,270.0,top
C37,186.52,-105.08,0.0,top
C38,89.96,-90.96,270.0,bottom
C39,93.265085,-90.96,270.0,bottom
C4,101.9,-77.61,270.0,bottom
C40,145.45,-108.85,180.0,bottom
C41,145.45,-110.45,180.0,bottom
C42,151.2,-104.05,90.0,bottom
C43,152.866667,-104.05,90.0,bottom
C44,154.533333,-104.05,90.0,bottom
C45,156.2,-104.05,90.0,bottom
C46,103.6,-91.54,90.0,bottom
C47,158.57,-115.6,0.0,bottom
C48,106.03,-90.82,180.0,bottom
C49,104.35,-89.2,0.0,bottom
C5,178.7,-77.64,270.0,top
C50,115.74,-103.01,90.0,bottom
C51,152.475,-109.75,0.0,bottom
C52,152.475,-108.15,180.0,bottom
C53,152.475,-106.55,180.0,bottom
C54,140.45,-101.125,90.0,bottom
C55,116.4,-113.1,0.0,bottom
C56,152.65,-99.55,180.0,bottom
C57,152.65,-101.2,180.0,bottom
C58,113.4,-77.15,270.0,bottom
C59,116.46,-114.77,0.0,bottom
C6,184.875,-77.64,270.0,top
C60,129.75,-112.0,180.0,bottom
C61,116.51,-77.7,270.0,top
C64,173.84,-78.05,270.0,bottom
C65,174.28,-77.49,270.0,top
